user_id,ImageReward_weight,PickScore_weight,HPS_V2_weight,ensemble_baseline_score_n_correct,ensemble_baseline_score_n_incorrect,AUs_integrated_score_n_correct,AUs_integrated_score_n_incorrect,CLIP_score_n_correct,CLIP_score_n_incorrect,Aesthetic_score_n_correct,Aesthetic_score_n_incorrect,BLIP_score_n_correct,BLIP_score_n_incorrect,ImageReward_score_n_correct,ImageReward_score_n_incorrect,PickScore_n_correct,PickScore_n_incorrect,HPS_V2_score_n_correct,HPS_V2_score_n_incorrect,AUs_coef_for_ensemble_ImageReward_AUs_score,ensemble_ImageReward_AUs_score_n_correct,ensemble_ImageReward_AUs_score_n_incorrect,AUs_coef_for_ensemble_PickScore_AUs_score,ensemble_PickScore_AUs_score_n_correct,ensemble_PickScore_AUs_score_n_incorrect,AUs_coef_for_ensemble_HPS_V2_AUs_score,ensemble_HPS_V2_AUs_score_n_correct,ensemble_HPS_V2_AUs_score_n_incorrect,AUs_coef_for_ensemble_all_score,ensemble_all_score_n_correct,ensemble_all_score_n_incorrect
012,0.1,0.6000000000000001,0.29999999999999993,25,24,26,23,30,19,27,22,28,21,30,19,22,27,29,20,3.0,25,24,1.3,20,29,1.7000000000000002,28,21,2.0,26,23
015,0.1,0.6000000000000001,0.29999999999999993,88,49,81,56,75,62,65,72,74,63,75,62,90,47,80,57,2.5,86,51,2.3000000000000003,93,44,1.7000000000000002,85,52,1.9000000000000001,95,42
016,0.1,0.6000000000000001,0.29999999999999993,89,56,91,54,87,58,55,90,73,72,78,67,86,59,94,51,2.5,86,59,1.2000000000000002,98,47,1.7000000000000002,100,45,1.9000000000000001,100,45
017,0.1,0.6000000000000001,0.29999999999999993,14,6,10,10,6,14,10,10,11,9,10,10,14,6,14,6,2.5,11,9,2.3000000000000003,13,7,1.7000000000000002,13,7,1.8,13,7
018,0.1,0.6000000000000001,0.29999999999999993,32,33,43,22,37,28,31,34,33,32,32,33,29,36,32,33,2.5,44,21,1.2000000000000002,36,29,1.7000000000000002,43,22,1.9000000000000001,44,21
020,0.1,0.6000000000000001,0.29999999999999993,30,5,28,7,23,12,14,21,18,17,21,14,31,4,30,5,2.5,30,5,2.3000000000000003,33,2,1.7000000000000002,31,4,1.8,33,2
021,0.1,0.6000000000000001,0.29999999999999993,59,33,61,31,55,37,57,35,46,46,54,38,57,35,56,36,2.5,65,27,1.2000000000000002,67,25,1.7000000000000002,68,24,1.8,70,22
022,0.1,0.6000000000000001,0.29999999999999993,89,57,96,50,79,67,77,69,67,79,81,65,88,58,76,70,3.0,96,50,2.1,102,44,1.7000000000000002,100,46,1.9000000000000001,102,44
023,0.1,0.6000000000000001,0.29999999999999993,82,31,76,37,68,45,62,51,44,69,76,37,78,35,77,36,2.5,81,32,2.3000000000000003,81,32,1.7000000000000002,82,31,2.0,83,30
024,0.1,0.6000000000000001,0.29999999999999993,74,27,54,47,55,46,60,41,59,42,69,32,70,31,71,30,2.9000000000000004,62,39,2.3000000000000003,68,33,1.7000000000000002,69,32,1.8,71,30
025,0.1,0.6000000000000001,0.29999999999999993,41,31,41,31,40,32,33,39,43,29,41,31,34,38,47,25,2.5,46,26,2.3000000000000003,41,31,1.7000000000000002,46,26,1.8,46,26
026,0.1,0.6000000000000001,0.29999999999999993,123,61,121,63,104,80,96,88,78,106,114,70,119,65,114,70,3.0,128,56,2.1,137,47,1.7000000000000002,129,55,1.9000000000000001,135,49
028,0.1,0.6000000000000001,0.29999999999999993,71,38,64,45,53,56,53,56,58,51,61,48,67,42,63,46,2.5,62,47,2.3000000000000003,63,46,1.7000000000000002,64,45,1.8,66,43
030,0.1,0.6000000000000001,0.29999999999999993,113,61,116,58,91,83,93,81,94,80,107,67,108,66,109,65,2.5,116,58,1.2000000000000002,114,60,1.7000000000000002,115,59,1.9000000000000001,113,61
031,0.1,0.6000000000000001,0.29999999999999993,104,72,90,86,104,72,86,90,83,93,90,86,100,76,102,74,2.5,97,79,2.0,103,73,1.7000000000000002,106,70,1.6,102,74
032,0.1,0.6000000000000001,0.29999999999999993,95,50,73,72,84,61,71,74,79,66,99,46,79,66,93,52,2.5,99,46,2.1,83,62,1.7000000000000002,97,48,1.9000000000000001,94,51
033,0.1,0.6000000000000001,0.29999999999999993,113,79,121,71,125,67,102,90,99,93,105,87,104,88,106,86,2.5,122,70,1.3,120,72,1.7000000000000002,127,65,1.8,121,71
034,0.1,0.6000000000000001,0.29999999999999993,130,37,93,74,108,59,95,72,83,84,122,45,124,43,130,37,2.6,123,44,2.1,128,39,1.7000000000000002,128,39,1.9000000000000001,130,37
035,0.1,0.6000000000000001,0.29999999999999993,52,24,35,41,44,32,36,40,37,39,52,24,50,26,52,24,2.5,48,28,2.1,43,33,1.7000000000000002,52,24,1.9000000000000001,50,26
037,0.1,0.6000000000000001,0.29999999999999993,112,65,114,63,83,94,77,100,83,94,100,77,108,69,98,79,2.5,120,57,1.2000000000000002,116,61,1.7000000000000002,112,65,1.9000000000000001,121,56
038,0.1,0.6000000000000001,0.29999999999999993,72,37,65,44,58,51,57,52,58,51,62,47,71,38,69,40,3.1,73,36,1.3,71,38,1.7000000000000002,77,32,1.8,77,32
039,0.1,0.6000000000000001,0.29999999999999993,30,17,27,20,27,20,18,29,19,28,22,25,27,20,28,19,2.5,28,19,2.3000000000000003,30,17,1.7000000000000002,29,18,1.8,29,18
040,0.1,0.6000000000000001,0.29999999999999993,74,42,79,37,68,48,55,61,51,65,75,41,71,45,69,47,2.5,81,35,1.2000000000000002,86,30,1.7000000000000002,86,30,1.9000000000000001,86,30
