user_id,ImageReward_weight,PickScore_weight,HPS_V2_weight,ensemble_baseline_score_n_correct,ensemble_baseline_score_n_incorrect,exp_decay_coef,AU4_coef,AU12_coef,diff_threshold,AUcomb_selected_CLIP_score_n_correct,AUcomb_selected_CLIP_score_n_incorrect,AUcomb_selected_Aesthetic_score_n_correct,AUcomb_selected_Aesthetic_score_n_incorrect,AUcomb_selected_BLIP_score_n_correct,AUcomb_selected_BLIP_score_n_incorrect,AUcomb_selected_ImageReward_score_n_correct,AUcomb_selected_ImageReward_score_n_incorrect,AUcomb_selected_PickScore_n_correct,AUcomb_selected_PickScore_n_incorrect,AUcomb_selected_HPS_V2_score_n_correct,AUcomb_selected_HPS_V2_score_n_incorrect,AUcomb_selected_ensemble_baseline_score_n_correct,AUcomb_selected_ensemble_baseline_score_n_incorrect,AUcomb_selected_AUcomb_valence_score_n_correct,AUcomb_selected_AUcomb_valence_score_n_incorrect,CLIP_score_n_correct,CLIP_score_n_incorrect,Aesthetic_score_n_correct,Aesthetic_score_n_incorrect,BLIP_score_n_correct,BLIP_score_n_incorrect,ImageReward_score_n_correct,ImageReward_score_n_incorrect,PickScore_n_correct,PickScore_n_incorrect,HPS_V2_score_n_correct,HPS_V2_score_n_incorrect,AUcomb_valence_score_n_correct,AUcomb_valence_score_n_incorrect,AUcomb_coef_for_ensemble_ImageReward_AUcomb_score,ensemble_ImageReward_AUcomb_score_n_correct,ensemble_ImageReward_AUcomb_score_n_incorrect,AUcomb_coef_for_ensemble_PickScore_AUcomb_score,ensemble_PickScore_AUcomb_score_n_correct,ensemble_PickScore_AUcomb_score_n_incorrect,AUcomb_coef_for_ensemble_HPS_V2_AUcomb_score,ensemble_HPS_V2_AUcomb_score_n_correct,ensemble_HPS_V2_AUcomb_score_n_incorrect,AUcomb_coef_for_ensemble_all_score,ensemble_all_score_n_correct,ensemble_all_score_n_incorrect
016,0.1,0.6000000000000001,0.29999999999999993,89,56,0.5,0.5,0.5,0.26,15,16,11,20,15,16,17,14,14,17,20,11,17,14,21,10,87,58,55,90,73,72,78,67,86,59,94,51,92,53,7.6000000000000005,93,52,6.4,99,46,5.6000000000000005,102,43,2.2,93,52
017,0.1,0.6000000000000001,0.29999999999999993,14,6,0.5,0.5,0.5,0.26,2,6,5,3,3,5,3,5,4,4,5,3,5,3,5,3,6,14,10,10,11,9,10,10,14,6,14,6,8,12,7.6000000000000005,10,10,8.9,11,9,5.6000000000000005,14,6,5.7,14,6
018,0.1,0.6000000000000001,0.29999999999999993,32,33,0.5,0.5,0.5,0.26,5,6,5,6,4,7,4,7,4,7,7,4,3,8,9,2,37,28,31,34,33,32,32,33,29,36,32,33,39,26,7.5,42,23,6.4,40,25,5.6000000000000005,40,25,5.7,43,22
020,0.1,0.6000000000000001,0.29999999999999993,30,5,0.5,0.5,0.5,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,14,21,18,17,21,14,31,4,30,5,15,20,7.6000000000000005,23,12,8.200000000000001,31,4,5.7,29,6,5.7,31,4
021,0.1,0.6000000000000001,0.29999999999999993,59,33,0.5,0.5,0.5,0.26,12,2,12,2,10,4,7,7,7,7,7,7,7,7,13,1,55,37,57,35,46,46,54,38,57,35,56,36,59,33,7.6000000000000005,59,33,8.9,63,29,5.6000000000000005,71,21,5.7,67,25
022,0.1,0.6000000000000001,0.29999999999999993,89,57,0.8,0.5,0.5,0.32,20,18,23,15,15,23,22,16,22,16,15,23,21,17,31,7,79,67,77,69,67,79,81,65,88,58,76,70,95,51,7.5,89,57,6.4,97,49,5.6000000000000005,98,48,5.7,96,50
023,0.1,0.6000000000000001,0.29999999999999993,82,31,0.5,0.5,0.5,0.26,14,12,16,10,12,14,14,12,19,7,20,6,19,7,18,8,68,45,62,51,44,69,76,37,78,35,77,36,74,39,6.2,76,37,8.200000000000001,79,34,5.6000000000000005,80,33,5.7,85,28
024,0.1,0.6000000000000001,0.29999999999999993,74,27,0.5,0.5,0.5,0.26,5,9,8,6,7,7,11,3,9,5,10,4,9,5,7,7,55,46,60,41,59,42,69,32,70,31,71,30,61,40,7.6000000000000005,70,31,7.5,67,34,5.6000000000000005,70,31,5.7,71,30
025,0.1,0.6000000000000001,0.29999999999999993,41,31,0.8,0.5,0.5,0.32,10,8,9,9,13,5,11,7,10,8,14,4,14,4,16,2,40,32,33,39,43,29,41,31,34,38,47,25,46,26,7.6000000000000005,44,28,6.4,43,29,5.6000000000000005,47,25,5.7,44,28
026,0.1,0.6000000000000001,0.29999999999999993,123,61,1.0,0.5,0.5,0.32,53,43,48,48,33,63,58,38,56,40,62,34,60,36,67,29,104,80,96,88,78,106,114,70,119,65,114,70,128,56,6.2,124,60,8.8,123,61,5.6000000000000005,123,61,5.7,124,60
028,0.1,0.6000000000000001,0.29999999999999993,71,38,0.5,0.5,0.5,0.26,9,10,9,10,13,6,15,4,14,5,14,5,15,4,8,11,53,56,53,56,58,51,61,48,67,42,63,46,53,56,7.6000000000000005,62,47,8.9,66,43,4.5,62,47,5.7,68,41
030,0.1,0.6000000000000001,0.29999999999999993,113,61,0.8,0.5,0.5,0.34,27,12,20,19,28,11,31,8,29,10,32,7,30,9,31,8,91,83,93,81,94,80,107,67,108,66,109,65,117,57,6.2,117,57,8.1,116,58,5.6000000000000005,109,65,5.7,118,56
031,0.1,0.6000000000000001,0.29999999999999993,104,72,0.5,0.5,0.5,0.26,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,104,72,86,90,83,93,90,86,100,76,102,74,81,95,7.5,92,84,9.0,98,78,5.6000000000000005,106,70,5.800000000000001,103,73
032,0.1,0.6000000000000001,0.29999999999999993,95,50,1.1,0.6000000000000001,0.3999999999999999,0.22,31,20,25,26,29,22,34,17,25,26,30,21,31,20,26,25,84,61,71,74,79,66,99,46,79,66,93,52,70,75,7.6000000000000005,96,49,6.4,85,60,4.3,92,53,5.7,92,53
033,0.1,0.6000000000000001,0.29999999999999993,113,79,0.5,0.5,0.5,0.26,34,19,24,29,29,24,30,23,30,23,26,27,34,19,39,14,125,67,102,90,99,93,105,87,104,88,106,86,124,68,7.6000000000000005,113,79,6.5,110,82,5.6000000000000005,114,78,5.5,110,82
034,0.1,0.6000000000000001,0.29999999999999993,130,37,0.5,0.5,0.5,0.26,11,2,10,3,4,9,9,4,10,3,11,2,11,2,12,1,108,59,95,72,83,84,122,45,124,43,130,37,101,66,7.6000000000000005,122,45,6.4,120,47,5.6000000000000005,130,37,5.7,132,35
035,0.1,0.6000000000000001,0.29999999999999993,52,24,0.8,0.5,0.5,0.32,2,1,1,2,0,3,2,1,2,1,2,1,2,1,1,2,44,32,36,40,37,39,52,24,50,26,52,24,37,39,7.6000000000000005,54,22,8.8,47,29,5.6000000000000005,53,23,5.7,53,23
037,0.1,0.6000000000000001,0.29999999999999993,112,65,1.0,0.5,0.5,0.32,30,26,22,34,29,27,32,24,32,24,35,21,35,21,43,13,83,94,77,100,83,94,100,77,108,69,98,79,121,56,7.5,116,61,2.9000000000000004,118,59,5.6000000000000005,114,63,5.7,121,56
038,0.1,0.6000000000000001,0.29999999999999993,72,37,0.5,0.5,0.5,0.26,16,15,16,15,13,18,19,12,22,9,20,11,22,9,27,4,58,51,57,52,58,51,62,47,71,38,69,40,59,50,6.2,72,37,9.0,72,37,4.4,76,33,5.800000000000001,75,34
040,0.1,0.6000000000000001,0.29999999999999993,74,42,0.8,0.5,0.5,0.34,12,8,13,7,10,10,13,7,10,10,8,12,11,9,17,3,68,48,55,61,51,65,75,41,71,45,69,47,81,35,7.5,81,35,6.4,80,36,4.4,76,40,5.7,79,37
